0,0.023675
1,0.018879
2,0.017508
3,0.017644
4,0.017312
5,0.018335
6,0.016948
7,0.016155
8,0.016160
9,0.017356
10,0.023180
11,0.016273
12,0.017430
13,0.016354
14,0.019024
15,0.019324
16,0.020622
17,0.017304
18,0.016780
19,0.016628
20,0.017277
21,0.016761
22,0.024805
23,0.016980
24,0.017989
25,0.017147
26,0.017663
27,0.016902
28,0.017579
29,0.029213
30,0.017018
31,0.017529
32,0.017213
33,0.016734
34,0.016723
35,0.016798
36,0.017087
37,0.017179
38,0.017313
39,0.019297
40,0.017935
41,0.017936
42,0.018691
43,0.018356
44,0.019203
45,0.018736
46,0.017279
47,0.017976
48,0.017114
49,0.019663
50,0.021453
51,0.019911
52,0.017627
53,0.017574
54,0.017343
55,0.016934
56,0.018951
57,0.016602
58,0.017071
59,0.018061
60,0.017339
61,0.016973
62,0.016411
63,0.016912
64,0.016797
65,0.017054
66,0.016545
67,0.016628
68,0.016869
69,0.018644
70,0.017755
71,0.016874
72,0.016398
73,0.016887
74,0.018563
75,0.019495
76,0.016514
77,0.017199
78,0.018552
79,0.018007
80,0.016611
81,0.016466
82,0.017938
83,0.016938
84,0.017845
85,0.017138
86,0.017600
87,0.016640
88,0.017805
89,0.016843
90,0.017606
91,0.016522
92,0.016319
93,0.017674
94,0.018503
95,0.018168
96,0.017305
97,0.017549
98,0.018230
99,0.016987
100,0.017588
101,0.017463
102,0.017071
103,0.018520
104,0.017162
105,0.018315
106,0.017191
107,0.020313
108,0.021476
109,0.017315
110,0.016816
111,0.017118
112,0.016736
113,0.016451
114,0.017310
115,0.019717
116,0.016619
117,0.017474
118,0.019151
119,0.017122
120,0.018710
121,0.017809
122,0.018088
123,0.017315
124,0.017156
125,0.018423
126,0.020011
127,0.019023
128,0.019736
129,0.017414
130,0.017901
131,0.017208
132,0.017508
133,0.018623
134,0.020472
135,0.016758
136,0.018306
137,0.016590
138,0.016214
139,0.016863
140,0.017416
141,0.016941
142,0.016485
143,0.016527
144,0.017543
145,0.018005
146,0.016617
147,0.016531
148,0.017441
149,0.016703
150,0.017384
