277,0.062284,Down
278,0.063296,Down
279,0.061454,Down
280,0.062312,Down
281,0.061398,Down
282,0.061668,Down
283,0.061051,Down
284,0.061458,Down
285,0.060999,Down
286,0.061559,Down
287,0.062832,Down
288,0.061878,Down
289,0.061426,Down
290,0.061531,Down
291,0.061677,Down
292,0.061374,Down
293,0.061476,Down
294,0.062255,Down
295,0.061268,Down
296,0.061629,Down
297,0.061821,Up
298,0.061174,Up
299,0.023983,Up
300,0.061428,Up
301,0.062081,Down
302,0.062388,Down
303,0.061502,Down
304,0.062033,Down
305,0.061796,Down
306,0.062079,Down
307,0.061878,Down
308,0.062215,Down
309,0.066575,Down
310,0.024824,Down
311,0.025650,Down
312,0.025014,Unknown
313,0.024058,Unknown
314,0.023960,Unknown
315,0.024051,Unknown
316,0.024312,Unknown
317,0.024751,Unknown
318,0.024548,Unknown
319,0.024039,Unknown
320,0.024168,Unknown
321,0.024455,Unknown
322,0.024142,Unknown
323,0.025237,Unknown
324,0.027253,Unknown
325,0.026409,Unknown
326,0.025098,Unknown
327,0.024560,Unknown
328,0.023991,Unknown
329,0.025137,Unknown
330,0.023844,Unknown
331,0.026307,Unknown
332,0.025796,Unknown
333,0.027490,Unknown
334,0.025703,Unknown
335,0.024679,Unknown
336,0.024259,Unknown
337,0.024419,Unknown
338,0.024601,Unknown
339,0.026364,Unknown
340,0.027453,Unknown
341,0.025621,Unknown
342,0.029855,Unknown
343,0.026445,Unknown
344,0.025683,Unknown
345,0.063583,Unknown
346,0.064268,Unknown
347,0.062578,Down
348,0.062740,Down
349,0.062649,Down
350,0.062059,Down
351,0.065381,Down
352,0.062304,Down
353,0.063566,Down
354,0.063268,Down
355,0.063406,Down
356,0.062756,Up
357,0.062287,Up
358,0.061995,Down
359,0.062217,Down
360,0.063720,Down
361,0.061953,Down
362,0.062081,Down
363,0.062245,Up
364,0.063276,Up
365,0.065467,Up
366,0.065376,Down
367,0.065620,Down
368,0.063164,Down
# frames=369, avg=0.058152, min=0.023761, max=0.085538
